,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_accuracy,test_accuracy,number_parameters,training_time,checkpoint_size,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
20,20,20_0,COMPLETED,Sobol,GenerationStep_0,2.3020894527435303,432.7924499511719,2.3021388053894043,361.4360046386719,0.33208221991856895,1.6562634030977885,0.10023722052574158,0.10014237463474274,997238.0,3.812630867958069,11995699.0,0.5864291340112686,0.8506194716319442,0.47286390513181686,659,538,230,7.648462261280343e-05,0.4449445142267753,0.7023690999610877,0.5334298445585561,leaky_relu
21,21,21_0,COMPLETED,Sobol,GenerationStep_0,2.3134639263153076,434.9161682128906,2.3130006790161133,363.13201904296875,0.3276428461074829,1.6681636452674866,0.10023722052574158,0.10014237463474274,1646802.0,3.802391533056895,19796659.0,0.28221603482961655,0.4612110015004873,0.44525126181542873,923,915,85,8.653988904538022e-07,0.6261296095541018,0.6894945253311249,0.2826005564682182,sigmoid
22,22,22_0,COMPLETED,Sobol,GenerationStep_0,2.3001484870910645,432.4329833984375,2.3001389503479004,361.1160583496094,0.32913827896118164,1.6216893990834553,0.09896141290664673,0.10009945183992386,661868.0,3.8155396382013955,7967091.0,0.5172181809321046,0.3405779032036662,0.839254854246974,588,244,226,2.1921863332717322e-07,0.8222908346752957,0.6869971616164324,0.8525602322497443,leaky_relu
23,23,23_0,COMPLETED,Sobol,GenerationStep_0,2.3008358478546143,432.5548095703125,2.3010919094085693,361.2724609375,0.3311579942703247,1.656245231628418,0.10023722052574158,0.10014237463474274,686210.0,3.8661736369132997,8259379.0,0.7547489441931248,0.0351455332711339,0.41737326234579086,503,462,126,4.514236841012609e-05,0.5343840527512099,0.2709636771681941,0.43181944579200254,sigmoid
24,24,24_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.23464386817067862,0.5014356095343828,0.9176999144256115,914,664,557,0.06396834988878147,0.7519145910836345,0.8052662147077231,0.9640135193699817,swish
25,25,25_0,COMPLETED,Sobol,GenerationStep_0,2.3023247718811035,432.8373718261719,2.3023016452789307,361.4607238769531,0.3326794703801473,1.6455881039301554,0.10023722052574158,0.10014237463474274,2074086.0,3.856934614976247,24929011.0,0.7039827508851886,0.21302326396107674,0.19683862943202257,962,941,436,1.1039761095262513e-05,0.45461581048487554,0.24686146038386458,0.6491501089463044,relu
26,26,26_0,COMPLETED,BoTorch,GenerationStep_1,0.28697314858436584,54.019248962402344,0.25629085302352905,40.109375,0.3439814964930216,1.6462271372477213,0.9198122620582581,0.9311352372169495,312561.0,3.803163727124532,3768051.0,0.7691313833894279,0.24732893670171008,0.23653748392556892,361,77,20,0.00021527274237533926,0.5975490930222762,0.10000000002614269,6.598060434472246e-12,swish
27,27,27_0,COMPLETED,BoTorch,GenerationStep_1,2.3330540657043457,438.5935363769531,2.3288767337799072,365.6127014160156,0.328756316502889,1.649072321256002,0.10206746309995651,0.10156384110450745,255468.0,3.825650386015574,3081779.0,0.4958282792471657,0.18427555560407438,0.16400728960225647,317,20,20,0.08909083361348076,0.3379169494719409,0.1792700654448539,0.07103911549749252,swish
28,28,28_0,COMPLETED,BoTorch,GenerationStep_1,0.5663725733757019,106.58406066894531,0.5352247357368469,83.91291809082031,0.331462017695109,1.6450847228368124,0.8693416118621826,0.8860888481140137,213660.0,3.8094507455825806,2579507.0,0.6798336073569448,0.2881230172051006,0.5440225402675429,265,20,20,0.00017114302442827064,0.3102248011071561,0.10000000000000005,0.0,leaky_relu
29,29,29_0,COMPLETED,BoTorch,GenerationStep_1,2.301875591278076,432.7521057128906,2.301957607269287,361.4078063964844,0.33102951049804685,1.6451390266418457,0.10023722052574158,0.10014237463474274,386520.0,3.8141850074132284,4656563.0,0.3294549401618762,0.2767955558095518,0.7109852313842081,480,20,20,0.00012331735885013338,0.8860604344295288,0.20536106035195717,0.30843643846327906,relu
30,30,30_0,COMPLETED,BoTorch,GenerationStep_1,2.3020951747894287,432.7965393066406,2.301758289337158,361.3716125488281,0.3332053780555725,1.6692829489707948,0.09964463114738464,0.10014237463474274,167028.0,3.7834566195805865,2019059.0,0.7624997281544387,0.4097959412898388,0.3323799109657217,207,20,20,1.3480627164337212e-05,0.10000000000000035,0.286197628109881,0.21969565351406362,leaky_relu
31,31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.2040230929851532,38.40876770019531,0.18139418959617615,28.398866653442383,0.34124792416890465,1.6969784379005433,0.9342092871665955,0.9429250955581665,246410.0,3.7964923938115436,2975859.0,0.6363651378462528,0.254613693503567,0.17374243626978525,211,211,165,0.00019975297485326838,0.4851005789644772,0.13849131890750604,0.0,swish
32,32,32_0,COMPLETED,BoTorch,GenerationStep_1,2.203155279159546,414.2270812988281,2.204596996307373,346.11663818359375,0.3446426828702291,1.6577760140101114,0.17788274586200714,0.17800921201705933,58557.0,3.8128225485483807,716403.0,0.8589416146048283,0.873823080497042,0.0,67,67,20,0.00017304627470847737,0.18197199421611635,0.9999999899898185,5.035675746313367e-12,relu
33,33,33_0,COMPLETED,BoTorch,GenerationStep_1,1.0087993144989014,189.76417541503906,0.9858635663986206,154.71934509277344,0.327100133895874,1.644654063383738,0.7032938003540039,0.7207104563713074,16680.0,3.794346614678701,212915.0,0.7828317707483391,0.40298053801882544,0.06836723893928431,20,20,20,0.00019124576503204592,0.10000000000000005,0.1,5.892494130518241e-16,leaky_relu
34,34,34_0,COMPLETED,BoTorch,GenerationStep_1,2.3009514808654785,432.5779113769531,2.3011858463287354,361.2882995605469,0.3222222248713175,1.6278140981992086,0.10023722052574158,0.10014237463474274,130376.0,3.740633436044057,1579955.0,1.0,0.6215042225773165,0.47420164598737286,144,76,76,0.00026001772591025706,0.1,0.99999999,0.0,sigmoid
35,35,35_0,COMPLETED,BoTorch,GenerationStep_1,2.3007121086120605,432.53179931640625,2.3011438846588135,361.2814025878906,0.32258917490641276,1.6205352385838827,0.10023722052574158,0.10014237463474274,16680.0,3.7384143034617106,212915.0,1.0,0.8881705965784655,0.29842342212858713,20,20,20,0.0001408391941830298,0.43857067907808783,0.21568348175814447,0.0,sigmoid
36,36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.7886168360710144,148.3472442626953,0.7628605365753174,119.66007232666016,0.32178927659988404,1.6140156666437784,0.7702202200889587,0.7733660936355591,66199.0,3.7446441928545635,808371.0,0.7494889709237341,0.7180251974180448,0.3015299935088769,76,49,49,0.0002071624570404562,0.393531688248145,0.25590995354482926,1.4149635880861167e-16,swish
37,37,37_0,COMPLETED,BoTorch,GenerationStep_1,2.3352227210998535,439.0298156738281,2.3323652744293213,366.1994934082031,0.31968743006388345,1.6372366031010945,0.10023722052574158,0.10014237463474274,16680.0,3.7416689872741697,212915.0,0.9999999999999964,0.743651841737322,0.378400433526746,20,20,20,1.075400940270945e-08,0.1,0.31465371198315356,0.0,sigmoid
38,38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.6710130572319031,126.2389144897461,0.6312389969825745,98.97588348388672,0.3245404640833537,1.6363152066866558,0.8836288452148438,0.8942914009094238,568224.0,3.727307911713918,6839603.0,0.6438003158824691,0.11970877147861445,0.7953109670108057,706,20,20,0.00024088006588309348,0.12582725388016447,0.10000000000000427,0.0,swish
39,39,39_0,COMPLETED,BoTorch,GenerationStep_1,2.2998976707458496,432.3794250488281,2.300379753112793,361.1614685058594,0.3195610324541728,1.6160942475001017,0.10023722052574158,0.10014237463474274,16680.0,3.7624952594439187,212915.0,0.8279695789256104,0.7911861456797974,0.9706121071088738,20,20,20,0.0003411376683394811,0.1,0.1,0.0,swish
40,40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.8969850540161133,168.70431518554688,0.8758612275123596,137.40435791015625,0.319286056359609,1.6372773845990498,0.7539401650428772,0.7661441564559937,16680.0,3.7109291553497314,212915.0,0.63167814007265,0.48744894875783956,0.29997984220501084,20,20,20,0.00021576077474187228,0.3296375433970276,0.2296832953174515,0.0,swish
41,41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.4509279429912567,84.88082122802734,0.4243069887161255,66.55621337890625,0.3188919345537821,1.6349761724472045,0.8674389719963074,0.8739063739776611,16680.0,3.733686045805613,212915.0,0.3905802114085315,0.0,0.3848760067733969,20,20,20,0.00017029485431635847,0.2415585124308935,0.1,0.0,swish
42,42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.46936750411987305,88.37617492675781,0.4380403757095337,68.68898010253906,0.3220295667648315,1.6413220286369323,0.8778235912322998,0.8922643661499023,88236.0,3.7075028300285338,1072499.0,0.5670095353017675,0.37555020639505093,0.2867662540592426,109,20,20,0.00017663294706722336,0.23798609582195102,0.3788079009090456,8.497614294755058e-14,swish
43,43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.7493119239807129,140.9309539794922,0.7246106266975403,113.67626190185547,0.3177536169687907,1.6330293854077658,0.8194336891174316,0.8312216997146606,16680.0,3.732733647028605,212915.0,0.20696229944621627,0.3244986998494205,0.23200790321307613,20,20,20,0.00011825195603099,0.2220312135208914,0.42923440388291023,5.0762447422547674e-14,swish
44,44,44_0,COMPLETED,BoTorch,GenerationStep_1,1.035344123840332,194.7366485595703,1.0101544857025146,158.47946166992188,0.3184387723604838,1.6336112340291342,0.6880000829696655,0.697701632976532,16680.0,3.7296686013539633,212915.0,0.7698157642520539,0.3433287778206158,0.4240050761378405,20,20,20,0.000149675881357764,0.10000000000001996,0.10000000000006898,0.0,swish
45,45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.5909358263015747,111.17955780029297,0.5614979267120361,88.07218170166016,0.3225499153137207,1.6089799722035727,0.8558604121208191,0.8669770359992981,16680.0,3.7221572319666545,212915.0,0.6261684140753623,0.3573117967561827,0.18240267620960382,20,20,20,0.00036486989425598814,0.26419588455259496,0.10000000315644685,7.782076790664984e-10,swish
46,46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.3729812502861023,70.22496795654297,0.34269726276397705,53.723182678222656,0.3189506451288859,1.6281605243682862,0.8958226442337036,0.9066585898399353,27936.0,3.74602392911911,348083.0,0.5658289169951967,0.2614434409971615,0.19771412661103005,34,20,20,0.00045574098148779116,0.1,0.5834981129105792,0.0,swish
47,47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.1970597356557846,37.042694091796875,0.17444585263729095,27.264013290405273,0.31910170714060465,1.6367531538009643,0.9480628967285156,0.9525911211967468,96276.0,3.7474324027697246,1169075.0,0.06688054449616376,0.0994240322146637,0.2968221060679678,119,20,20,0.00037483223286383094,0.21413293625663427,0.1018690551785811,2.475267536596749e-12,swish
48,48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.2570517063140869,48.413002014160156,0.23466286063194275,36.771183013916016,0.32159794569015504,1.6171217719713846,0.921856701374054,0.9284957051277161,16680.0,3.70858545700709,212915.0,0.6351757334204416,5.513198327402318e-12,0.20427446735186588,20,20,20,0.001965929776320994,0.7889117382137713,0.4360592601032099,0.0,swish
49,49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.32098960876464844,60.383487701416016,0.2896968722343445,45.395103454589844,0.354271666208903,1.7844168663024902,0.9032235741615295,0.9160138964653015,16680.0,4.04065127770106,212915.0,0.6369262134908067,0.024257906947507197,0.19370455311317977,20,20,20,0.0005105276231089221,0.7670705351596725,0.3365827557751352,9.548301828413705e-13,swish
50,50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.25636938214302063,48.212154388427734,0.2437666952610016,38.27928161621094,0.32999977668126423,1.6954204082489013,0.9218770265579224,0.927601158618927,16680.0,4.14443887869517,212915.0,0.2124226733610993,0.0,0.22861572738837038,20,20,20,0.0006282286433456683,0.10000000000000366,0.5006477984200548,0.0,swish
51,51,51_0,COMPLETED,BoTorch,GenerationStep_1,2.316403865814209,435.4822998046875,2.3141777515411377,363.33123779296875,0.32544005711873375,1.6459664265314737,0.09964462369680405,0.10014237463474274,16680.0,3.8861632108688355,212915.0,1.0,0.33916163809195266,0.020375155315086733,20,20,20,1e-08,0.1,0.5074659686297269,4.107771607172644e-10,swish
52,52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.2654285430908203,49.92548370361328,0.23442958295345306,36.83857727050781,0.32524149417877196,1.6606227159500122,0.9164754152297974,0.9260932803153992,16680.0,3.8630434036254884,212915.0,0.3289681973182184,0.0,0.21776415728843326,20,20,20,0.0006367482882427385,0.55430132304673,0.41602760263039407,0.0,swish
53,53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.22982242703437805,43.22513961791992,0.21161997318267822,33.234375,0.3268062671025594,1.6678877154986063,0.9288109540939331,0.9384914040565491,16680.0,3.894320778052012,212915.0,0.5067005750849196,0.0,0.21980755427129786,20,20,20,0.0007957238688018627,0.9041641390274355,0.4382184539485884,0.0,swish
54,54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.2684171199798584,50.54679870605469,0.24478450417518616,38.33628463745117,0.3253965576489766,1.6474074443181357,0.9164634346961975,0.9236929416656494,16680.0,3.8840396285057066,212915.0,0.513410088729308,0.0,0.2114535106884024,20,20,20,0.0008245431984353874,0.13018564292612,0.957948760795057,0.0,swish
55,55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.3755033016204834,70.7598876953125,0.3467591404914856,54.37696838378906,0.3222322384516398,1.6559475580851237,0.904325544834137,0.9141718745231628,214464.0,3.8546791513760885,2589107.0,0.2622128011347172,0.44651421564671206,0.4318259412691775,266,20,20,0.000217068126745078,0.1,0.10000000000166272,0.0,swish
56,56,56_0,ABANDONED,BoTorch,GenerationStep_1,,,,,,,,,,,,4.5709862181075556e-14,0.6477176199970657,0.3915066341750456,20,20,20,0.000631051907030482,0.9999999899998584,0.1,1.4043486088831657e-13,swish
57,57,57_0,COMPLETED,BoTorch,GenerationStep_1,2.2991063594818115,432.22991943359375,2.29937744140625,361.00311279296875,0.32235848108927406,1.6595769008000691,0.10023722052574158,0.1004268154501915,16680.0,3.873043970266978,212915.0,0.9999999986508519,0.7365517042380842,0.16928535195050157,20,20,20,0.002179828541356011,0.9999992906745855,0.9999999899999995,1.2782818067343482e-14,swish
58,58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.36874526739120483,69.3474349975586,0.3323076367378235,52.104007720947266,0.33151657581329347,1.6554583748181662,0.8880855441093445,0.9042338132858276,16680.0,3.895027454694112,212915.0,0.5603060560345822,2.298776752450112e-11,0.36619169134372953,20,20,20,0.0008461382512765514,0.3336419139268405,0.23802895779696875,5.745158962920785e-10,leaky_relu
59,59,59_0,COMPLETED,BoTorch,GenerationStep_1,2.3729019165039062,446.0760498046875,2.3731353282928467,372.62042236328125,0.3265503088633219,1.65079714457194,0.10023722052574158,0.10014237463474274,16680.0,3.871981179714203,212915.0,0.5273899381612907,0.0,0.12001313386942807,20,20,20,1.0,0.23184032027654522,0.39435203393448154,0.0,swish
60,60,60_0,COMPLETED,BoTorch,GenerationStep_1,2.2994096279144287,432.2887268066406,2.299809694290161,361.0710754394531,0.32155035734176635,1.662004021803538,0.10023722052574158,0.10014237463474274,16680.0,3.865682884057363,212915.0,0.11709015035170593,1.0,0.0,20,20,20,0.00011759161938000091,0.3918278698315216,0.1,0.0,swish
61,61,61_0,COMPLETED,BoTorch,GenerationStep_1,2.3068830966949463,433.6929016113281,2.3066134452819824,362.13433837890625,0.32498268683751425,1.6697526017824809,0.10023722052574158,0.09943126142024994,16680.0,3.8712719917297362,212915.0,0.999999999990523,0.9269499045587754,0.45067653757736265,20,20,20,2.0341816045329642e-05,0.1,0.10000000003534412,4.289748514756839e-10,relu
62,62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.19210666418075562,36.11913299560547,0.16428156197071075,25.704126358032227,0.3221861441930135,1.6645351886749267,0.9468913674354553,0.9519096612930298,98917.0,3.877860442797343,1201011.0,0.4246951715584958,0.08320991141066522,0.313858749955254,119,39,20,0.00046046940660765296,0.15098136692213132,0.10000000000000804,1.878439708348517e-14,swish
63,63,63_0,COMPLETED,BoTorch,GenerationStep_1,1.5621906518936157,293.69891357421875,1.5455167293548584,242.5769500732422,0.3214513580004374,1.6740476528803507,0.6337541937828064,0.6252888441085815,16680.0,3.870792047182719,212915.0,0.18214691234243244,0.45533408733953046,0.8827693214058973,20,20,20,0.00013469909537552216,0.10000000000000098,0.1,0.0,swish
64,64,64_0,COMPLETED,BoTorch,GenerationStep_1,1.0336570739746094,194.41409301757812,1.0203782320022583,160.09535217285156,0.322573451201121,1.6587674260139464,0.6791481375694275,0.6845498085021973,16680.0,3.864466842015584,212915.0,0.596719350047707,0.573396903486021,0.2663291727943806,20,20,20,0.00021598464962994146,0.1,0.9999999899999212,0.0,swish
65,65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.5390846729278564,101.44769287109375,0.5150231122970581,80.77538299560547,0.3225246906280518,1.6815762519836426,0.8493912816047668,0.8600494861602783,112327.0,3.8671595096588134,1362867.0,0.6359725456433766,0.5098283085371896,0.3065541631879719,124,73,73,0.000522123314730893,0.10000000019104575,0.10000000000734516,4.704240249607609e-11,sigmoid
66,66,66_0,ABANDONED,BoTorch,GenerationStep_1,,,,,,,,,,,,0.6476699213646918,0.519482933568537,0.40687628393939895,344,20,20,0.00029182634750134017,0.9999999899948301,0.1000000000937187,0.0,swish
67,67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.5656155347824097,106.47657775878906,0.5236310362815857,82.11079406738281,0.3265751282374064,1.6456225196520486,0.848553478717804,0.8606931567192078,196776.0,3.8702977458635965,2376755.0,0.6919199476307651,0.5353195740124523,0.31155330829588374,244,20,20,0.0005309504849236477,0.10000000000042714,0.1000000000007782,6.194564398915606e-12,swish
68,68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.30449679493904114,57.3398323059082,0.28343260288238525,44.37097930908203,0.32212740977605187,1.650260595480601,0.906233012676239,0.9164032936096191,16680.0,3.8610394835472106,212915.0,0.673120247625678,0.0,0.1729166866643099,20,20,20,0.0009313679680798844,0.7230139031713726,0.45410866208977757,0.0,swish
69,69,69_0,COMPLETED,BoTorch,GenerationStep_1,1.916700005531311,360.3446044921875,1.9193507432937622,301.3173828125,0.32447065512339274,1.654066018263499,0.37975940108299255,0.37683260440826416,16680.0,3.8835805575052897,212915.0,0.10705106730418858,0.29032439338221144,0.47135662849815146,20,20,20,0.0003347624660350311,0.99999999,0.99999999,0.0,sigmoid
70,70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.39487218856811523,74.30207061767578,0.3675733506679535,57.66739273071289,0.3233116904894511,1.6635571718215942,0.8856180906295776,0.8973824977874756,55272.0,3.868520720799764,676595.0,0.08378196971112013,1.649167954737256e-13,0.38310466165896145,68,20,20,0.00010789742737603676,0.10000000000000359,0.1015192255757541,1.3629513465365468e-13,swish
71,71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.26571670174598694,50.00632095336914,0.23743097484111786,37.166011810302734,0.3260143717130025,1.671342428525289,0.9177185893058777,0.9290407299995422,16680.0,3.847645958264669,212915.0,0.6230999926483609,0.0,0.13120444316163346,20,20,20,0.0011158253944627881,0.6737250784359388,0.44809855412008376,0.0,swish
72,72,72_0,COMPLETED,BoTorch,GenerationStep_1,2.356879472732544,443.1075439453125,2.352142572402954,369.26739501953125,0.32396438121795657,1.6456417282422384,0.10023722052574158,0.10014237463474274,16680.0,3.9320950071016947,212915.0,0.65486181965965,0.5537813535485965,0.16447556474122912,20,20,20,0.000839107040835522,0.9999999393963274,0.1000000000000041,2.3050180370365013e-09,relu
