,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,training_time,checkpoint_size,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
31,31,31_0,COMPLETED,Uniform,GenerationStep_0,32.54513168334961,5539.77880859375,33.744590759277344,7184.16943359375,1.7226908842722575,1.737046202023824,2209.046142578125,1.4182381629943848,0.4575446546077728,1.4397891759872437,2320.55859375,1.4054157733917236,1.4481674432754517,47294.0,3.9047998150189716,583923.0,0.4715225398540497,0.5913185253920238,0.0940679618850182,0.5931071348359328,261,93,20,8.391359345970571e-07,0.19314085395074487,0.5019417653273923,0.6537715072800643,swish
32,32,32_0,COMPLETED,Uniform,GenerationStep_0,32.06193923950195,5457.13525390625,33.263389587402344,7081.6708984375,1.7282697558403015,1.733027958869934,2176.209716796875,1.406843900680542,0.4538966715335846,1.4282724857330322,2286.5234375,1.3945814371109009,1.4370445013046265,67046.0,3.877405250072479,821427.0,0.46792206168174744,0.299254082804456,0.20104320888125882,0.8459709315554965,191,180,95,1.7515914108917105e-05,0.8845975504113758,0.3382712797333861,0.4403529796918668,relu
33,33,33_0,COMPLETED,Uniform,GenerationStep_0,31.365880966186523,5338.17333984375,32.571449279785156,6934.26416015625,1.7258273005485534,1.729408033688863,2127.470458984375,1.3898087739944458,0.44843900203704834,1.4110443592071533,2235.9677734375,1.37835693359375,1.4203786849975586,42332.0,3.8917970697085065,524019.0,0.4625268280506134,0.5259841279618411,0.7042159089023554,0.9459702852472872,270,70,22,0.005571005045137677,0.6457748436424811,0.5815374103906732,0.7269824099473084,swish
34,34,34_0,COMPLETED,Uniform,GenerationStep_0,32.54388427734375,5539.564453125,33.74337387084961,7183.9130859375,1.7219248453776042,1.7268904209136964,2209.0,1.4182218313217163,0.45753955841064453,1.4397730827331543,2320.51171875,1.4054008722305298,1.448152780532837,31880.0,3.8879398703575134,398003.0,0.47151756286621094,0.8090128450011861,0.6137099886780215,0.36070759492302606,192,69,44,1.4754982557790588e-07,0.5323201380756177,0.1819594489281648,0.4270410668496369,swish
35,35,35_0,COMPLETED,Uniform,GenerationStep_0,32.33460998535156,5503.7734375,33.53485870361328,7139.49462890625,1.7365470290184022,1.7303300499916077,2194.89013671875,1.4133296012878418,0.45597410202026367,1.4348299503326416,2305.892822265625,1.4007540941238403,1.4433820247650146,17965.0,3.880941883722941,229491.0,0.4699735641479492,0.6375104391602399,0.47526336486848897,0.13556490101425733,125,58,10,4.4738621040982334e-07,0.1902931009060379,0.26973925824709527,0.43610001946277827,swish
36,36,36_0,COMPLETED,Uniform,GenerationStep_0,32.527565002441406,5536.771484375,33.727142333984375,7180.45458984375,1.7289523402849833,1.7313308835029602,2207.885498046875,1.4178369045257568,0.4574161469936371,1.4393833875656128,2319.3603515625,1.4050347805023193,1.4477773904800415,81959.0,3.8891178528467814,1001779.0,0.47139596939086914,0.7423806853123667,0.9353051033986971,0.41872390940802173,212,208,99,1.4704872349020534e-08,0.372637618544699,0.8885487944847088,0.0726082597577127,swish
37,37,37_0,COMPLETED,Uniform,GenerationStep_0,25.825565338134766,4405.36865234375,26.815940856933594,5709.28564453125,1.7235517144203185,1.7282831827799479,1309.903564453125,1.0911521911621094,0.3510657548904419,1.104049563407898,1375.5721435546875,1.078485369682312,1.108328104019165,134624.0,3.8994757493336993,1635507.0,0.36104902625083923,0.980285426264563,0.07953309298012545,0.06978168976984367,262,255,182,0.33513141047208345,0.6558327624183099,0.19372724541457348,0.9009763530639044,sigmoid
38,38,38_0,COMPLETED,Uniform,GenerationStep_0,26.433055877685547,4502.83203125,27.48688316345215,5851.74169921875,1.7360539078712462,1.7215044895807903,1536.221435546875,1.173995018005371,0.3788175582885742,1.1910573244094849,1617.596923828125,1.1667495965957642,1.2014851570129395,76897.0,3.9125787814458213,940659.0,0.391497939825058,0.9256733597622784,0.2106036140249984,0.7666826589498424,292,156,49,0.052257554236790356,0.14430189703324808,0.20837332554289267,0.3080505964392359,sigmoid
39,39,39_0,COMPLETED,Uniform,GenerationStep_0,17.623884201049805,3011.631591796875,18.272306442260742,3890.155029296875,1.7239123344421388,1.7378294825553895,742.8197631835938,0.812933623790741,0.2617296874523163,0.823106050491333,779.0244140625,0.8035869598388672,0.8261631727218628,46320.0,3.9226759552955626,572019.0,0.2689816951751709,0.09690597516420663,0.8340862462466812,0.7021150558853176,267,79,45,0.0016245539164950256,0.8452167428665588,0.948599259907998,0.8134003421038204,leaky_relu
40,40,40_0,COMPLETED,Uniform,GenerationStep_0,32.37705612182617,5511.033203125,33.577125549316406,7148.50244140625,1.7206475456555685,1.7175696929295858,2197.6904296875,1.414304256439209,0.4562855064868927,1.4358140230178833,2308.791259765625,1.4016778469085693,1.4443305730819702,88252.0,3.904850653807322,1077107.0,0.47028031945228577,0.5634066964362683,0.8382235483951309,0.7610276798411796,274,205,48,1.2322036462839065e-05,0.6208126728423158,0.8877738760410396,0.6522008591364717,leaky_relu
41,41,41_0,COMPLETED,Uniform,GenerationStep_0,17.753305435180664,3032.57958984375,18.430585861206055,3924.025634765625,1.722723372777303,1.7409655253092449,763.705078125,0.8232249617576599,0.26517611742019653,0.8338721394538879,800.5643920898438,0.8144257664680481,0.8376613259315491,56088.0,3.8989646434783936,690035.0,0.2727647125720978,0.5655785768956922,0.838517412507485,0.12789329469213884,212,133,80,0.005389327370380426,0.4360255448242176,0.38099576713970185,0.27610884177951556,leaky_relu
42,42,42_0,COMPLETED,Uniform,GenerationStep_0,32.23746871948242,5487.15771484375,33.43811798095703,7118.8876953125,1.7303212960561116,1.7256032903989156,2188.208740234375,1.411014199256897,0.4552323520183563,1.4324889183044434,2298.962890625,1.3985499143600464,1.4411190748214722,47558.0,3.895113293329875,587187.0,0.46924087405204773,0.6595857778785459,0.6606836969456475,0.794503933674919,164,133,93,9.496791984293466e-08,0.7850961514532604,0.2677386192874236,0.4057521497870281,sigmoid
43,43,43_0,COMPLETED,Uniform,GenerationStep_0,32.37232208251953,5510.22021484375,33.57242202758789,7147.49462890625,1.7337725202242533,1.719199033578237,2197.372802734375,1.4141942262649536,0.45625048875808716,1.4357022047042847,2308.46240234375,1.4015727043151855,1.4442225694656372,151856.0,3.884450928370158,1842675.0,0.47024545073509216,0.6536946098787242,0.4977909537449019,0.9350216257477892,300,261,188,2.603576373663847e-05,0.3639812976485297,0.2511914614720627,0.8303443682155027,swish
44,44,44_0,COMPLETED,Uniform,GenerationStep_0,19.63532066345215,3348.324462890625,20.492128372192383,4363.17724609375,1.713422211011251,1.7209428032239278,960.7493286132812,0.9224955439567566,0.29756128787994385,0.9355835914611816,1010.8531494140625,0.9168158173561096,0.9438158273696899,55030.0,3.890082867940267,676659.0,0.30748850107192993,0.9246129493716343,0.11552806789093606,0.6615688498146047,188,185,27,0.015732138056655815,0.8904612760877955,0.10659972134377049,0.27654448344439864,swish
45,45,45_0,COMPLETED,Uniform,GenerationStep_0,31.542856216430664,5368.40185546875,32.74736022949219,6971.7333984375,1.7345262050628663,1.7504613995552063,2140.114013671875,1.3942420482635498,0.44985973834991455,1.4155287742614746,2249.08740234375,1.3825830221176147,1.424720287322998,23040.0,3.934782934188843,291123.0,0.4639323055744171,0.19432733115004808,0.8382582114048848,0.9949228624227314,239,15,6,0.001853909187017232,0.7891696660453693,0.5473592497005297,0.9383421648713114,sigmoid
46,46,46_0,COMPLETED,Uniform,GenerationStep_0,15.619604110717773,2673.904052734375,16.100561141967773,3427.453125,1.7387763381004333,1.70923011302948,524.341552734375,0.6958432793617249,0.22258305549621582,0.7018702626228333,543.243408203125,0.6761624813079834,0.6934900283813477,57465.0,3.913179397583008,706419.0,0.22517697513103485,0.5334243114205126,0.7816883795707151,0.07286650979205045,201,154,66,0.0011888727989110973,0.5638079202851013,0.8863496492622925,0.6604051673082981,leaky_relu
47,47,47_0,COMPLETED,Uniform,GenerationStep_0,32.575504302978516,5544.97216796875,33.7748908996582,7190.62451171875,1.7194953878720602,1.7326577226320903,2211.114990234375,1.418953537940979,0.45777347683906555,1.4405120611190796,2322.703857421875,1.406096339225769,1.448866605758667,117592.0,3.900959002971649,1430451.0,0.47174835205078125,0.012074582501819586,0.6945955742832588,0.536473674015368,249,231,172,2.837517325373675e-07,0.776021895740783,0.40518525196509136,0.2999891033301804,swish
