,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_accuracy,number_parameters,training_time,checkpoint_size,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
17,17,17_0,COMPLETED,Uniform,GenerationStep_0,2.302823543548584,432.9306640625,2.302779197692871,361.53729248046875,0.33503697713216146,1.7453431765238443,0.10023722052574158,674022.0,3.9985046784083047,8113395.0,0.10014237463474274,0.0033220370817210743,0.19284812945053165,0.7954983838061587,560,293,234,0.0003871099365918958,0.5095684131190727,0.698177291614666,0.3872122232144608,sigmoid
18,18,18_0,COMPLETED,Uniform,GenerationStep_0,2.3018529415130615,432.74786376953125,2.301943778991699,361.40582275390625,0.3345817009607951,1.7406275033950807,0.10023722052574158,1139727.0,3.9332383712132772,13705779.0,0.10014237463474274,0.29360225651129457,0.9710481184829017,0.5698487735214443,993,317,142,0.00019354748107763576,0.45742015150945947,0.6976428020714875,0.2837894441319436,relu
19,19,19_0,COMPLETED,Uniform,GenerationStep_0,2.302345037460327,432.84014892578125,2.3022572994232178,361.45391845703125,0.3338649074236552,1.7257596810658773,0.09629659354686737,2012995.0,3.9241583784421286,24197043.0,0.09637688100337982,0.4980853880646955,0.06693512139557023,0.7419005058516126,858,811,785,7.481831314539451e-07,0.1857211716603459,0.6872305377254793,0.818044702160701,swish
20,20,20_0,COMPLETED,Uniform,GenerationStep_0,2.3017566204071045,432.7289733886719,2.302029848098755,361.4208068847656,0.3282569169998169,1.7134972532590231,0.10023722052574158,317305.0,3.894324545065562,3825203.0,0.09943126142024994,0.27884513404116407,0.47707605602957404,0.8667619501874821,360,85,47,2.223285806328227e-05,0.8035770719051982,0.41344072572297097,0.4474421507271867,sigmoid
21,21,21_0,COMPLETED,Uniform,GenerationStep_0,2.3009724617004395,432.5823669433594,2.3007378578186035,361.216552734375,0.33225661516189575,1.6946252822875976,0.10971728712320328,1885266.0,3.9214096585909526,22662067.0,0.10861716419458389,0.18217700152897942,0.6891869671070423,0.41807496939298416,896,848,493,9.904427690743692e-07,0.46833795383141563,0.25650748346265684,0.7312056499853206,relu
22,22,22_0,COMPLETED,Uniform,GenerationStep_0,2.3450920581817627,440.9020080566406,2.3477888107299805,368.5887451171875,0.3279381354649862,1.740961249669393,0.09969796985387802,429818.0,3.937526257832845,5178611.0,0.10014237463474274,0.8578726126357784,0.5771465347549739,0.6420841694749531,407,195,153,0.024707449425440384,0.6226578255476811,0.2214187149137114,0.06978259230343928,swish
23,23,23_0,COMPLETED,Uniform,GenerationStep_0,2.3034019470214844,433.0457763671875,2.3036863803863525,361.6794128417969,0.3290525396664937,1.7230084657669067,0.10237987339496613,1097228.0,3.9084421396255493,13195763.0,0.10259643197059631,0.8616943308727844,0.0034301375225394004,0.6646014645639841,833,456,138,1.2384810528471681e-08,0.2491237064117566,0.33868566269692946,0.11259628710551849,leaky_relu
24,24,24_0,COMPLETED,Uniform,GenerationStep_0,0.36011719703674316,67.77973175048828,0.33419105410575867,52.351619720458984,0.33365112940470376,1.7157333254814149,0.8987237811088562,980476.0,3.887127884229024,11793587.0,0.9111778140068054,0.5395113539097148,0.15790102019078,0.142473235716162,938,214,198,0.0001585066106114351,0.19004280884898028,0.4800750978290368,0.024700652224422637,leaky_relu
25,25,25_0,COMPLETED,Uniform,GenerationStep_0,2.3022801876068115,432.8277893066406,2.3022303581237793,361.4502868652344,0.3292630116144816,1.7147128264109293,0.10023722052574158,1625390.0,3.927441585063934,19538739.0,0.10014237463474274,0.4613264831264531,0.364160565102586,0.9298597599963132,983,831,45,3.673323722374382e-05,0.3456770197824037,0.10204411935614686,0.6749158908246771,relu
26,26,26_0,COMPLETED,Uniform,GenerationStep_0,2.302321434020996,432.8346862792969,2.3024344444274902,361.4799499511719,0.34485041300455727,1.7383137345314026,0.10023722052574158,939335.0,3.8910588065783185,11300211.0,0.10014237463474274,0.8906920385038742,0.6627523216954976,0.8196522153858006,714,381,275,1.4534561631750237e-05,0.4667551020828672,0.8906012189106534,0.13504027599417978,relu
27,27,27_0,COMPLETED,Uniform,GenerationStep_0,2.304020404815674,433.1601257324219,2.303757905960083,361.6851806640625,0.3361368854840597,1.7326396465301515,0.09964463114738464,1655484.0,4.08928343852361,19903027.0,0.10014237463474274,0.006855188323841133,0.2342087909403462,0.8187733893947519,826,720,566,0.04262757199563712,0.7694348785311823,0.9878333464755592,0.47602771884639006,relu
